accessToSubscriberContent | Offset: 8377CC60

actionSlotsHide | Offset: 83774E78

activeAction | Offset: 8376F824

aim_autoaim_enabled | Offset: 8377CF08

aim_target_sentient_radius | Offset: 8378057C

ammoCounterHide | Offset: 83774E34

band_12players | Offset: 837621C8

band_18players | Offset: 8376220C

band_2players | Offset: 837620FC

band_4players | Offset: 83762140

band_8players | Offset: 83762184

bg_bulletExplDmgFactor | Offset: 83777694

bg_bulletExplRadius | Offset: 837776D8

bg_foliagesnd_fastinterval | Offset: 83777100

bg_foliagesnd_maxspeed | Offset: 83777078

bg_foliagesnd_minspeed | Offset: 83777034

bg_foliagesnd_resetinterval | Offset: 83777144

bg_foliagesnd_slowinterval | Offset: 837770BC

bg_legYawTolerance | Offset: 837771CC

bg_shieldHitEncodeHeightVM | Offset: 837782CC

bg_shieldHitEncodeHeightWorld | Offset: 83778244

bg_shieldHitEncodeWidthVM | Offset: 83778288

bg_shieldHitEncodeWidthWorld | Offset: 83778200

bg_shock_lookControl | Offset: 83777F9C

bg_shock_lookControl_fadeTime | Offset: 837780AC

bg_shock_lookControl_maxpitchspeed | Offset: 83777FE0

bg_shock_lookControl_maxyawspeed | Offset: 83778024

bg_shock_lookControl_mousesensitivityscale | Offset: 83778068

bg_shock_movement | Offset: 837780F0

bg_shock_screenBlurBlendFadeTime | Offset: 83777BA0

bg_shock_screenBlurBlendTime | Offset: 83777B5C

bg_shock_screenFlashShotFadeTime | Offset: 83777C28

bg_shock_screenFlashWhiteFadeTime | Offset: 83777BE4

bg_shock_screenType | Offset: 83777B18

bg_shock_sound | Offset: 83777D38

bg_shock_soundDryLevel | Offset: 83777ED0

bg_shock_soundEnd | Offset: 83777A90

bg_shock_soundEndAbort | Offset: 83777AD4

bg_shock_soundFadeInTime | Offset: 83777D7C

bg_shock_soundFadeOutTime | Offset: 83777DC0

bg_shock_soundLoop | Offset: 83777A08

bg_shock_soundLoopEndDelay | Offset: 83777E48

bg_shock_soundLoopFadeTime | Offset: 83777E04

bg_shock_soundLoopSilent | Offset: 83777A4C

bg_shock_soundModEndDelay | Offset: 83777F58

bg_shock_soundRoomType | Offset: 83777E8C

bg_shock_soundWetLevel | Offset: 83777F14

bg_shock_viewKickFadeTime | Offset: 83777CF4

bg_shock_viewKickPeriod | Offset: 83777C6C

bg_shock_viewKickRadius | Offset: 83777CB0

bg_shock_volume_aircraft | Offset: 8377A90C

bg_shock_volume_alarm | Offset: 83779FC0

bg_shock_volume_ambdist1 | Offset: 83779F38

bg_shock_volume_ambdist2 | Offset: 83779F7C

bg_shock_volume_ambient | Offset: 8377ACC4

bg_shock_volume_announcer | Offset: 8377AEE4

bg_shock_volume_auto | Offset: 8377A004

bg_shock_volume_auto2 | Offset: 8377A048

bg_shock_volume_auto2d | Offset: 8377A08C

bg_shock_volume_autodog | Offset: 8377A0D0

bg_shock_volume_body | Offset: 8377A488

bg_shock_volume_body2d | Offset: 8377A4CC

bg_shock_volume_bulletflesh1 | Offset: 8377A2F0

bg_shock_volume_bulletflesh2 | Offset: 8377A334

bg_shock_volume_bulletimpact | Offset: 8377A2AC

bg_shock_volume_bulletwhizby | Offset: 8377A378

bg_shock_volume_critical | Offset: 8377AEA0

bg_shock_volume_effects1 | Offset: 8377A730

bg_shock_volume_effects2 | Offset: 8377A774

bg_shock_volume_effects2d1 | Offset: 8377A7FC

bg_shock_volume_effects2d2 | Offset: 8377A840

bg_shock_volume_effects3 | Offset: 8377A7B8

bg_shock_volume_element | Offset: 8377A1E0

bg_shock_volume_element_ext | Offset: 8377A268

